Host	Time	Message
mulberry	Mon Feb 28 10:47:42 2011	 Home=1, Population=1000
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 30 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 0 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:42 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 20 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 10 ms
mulberry	Mon Feb 28 10:47:43 2011	 Turn complete in 20 ms
