Host	Time	Message
pear	Mon Feb 21 12:29:21 2011	 Home=1, Population=1000
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 60 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 60 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:21 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 100 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 90 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 80 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 70 ms
